journey_id,school,date,channel_grouping,source,medium,campaign,country,touchpoint,total_touchpoints,stage,stage_idx,attribution_weight,status,closed_reason
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,1,5,D1 Lead,0,0.062765,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,2,5,D1 Lead,0,0.010461,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,3,5,D1 Lead,0,0.010461,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,4,5,D1 Lead,0,0.010461,Active,
BCS-0024,BCS,2026-06-25,Direct,(direct),(none),(direct),Singapore,5,5,D1 Lead,0,0.062765,Active,
BCS-0025,BCS,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Singapore,1,3,D1 Lead,0,0.044251,Active,
BCS-0025,BCS,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Singapore,1,3,D2 Enquiry,1,0.040033,Active,
BCS-0025,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,2,3,D1 Lead,0,0.022126,Active,
BCS-0025,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,2,3,D2 Enquiry,1,0.020017,Active,
BCS-0025,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,3,3,D1 Lead,0,0.044251,Active,
BCS-0025,BCS,2026-06-22,PMaxPaidSearch,google,cpc,FPD_SG_PMax_AO,Singapore,3,3,D2 Enquiry,1,0.040033,Active,
BCS-0026,BCS,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,1,3,D1 Lead,0,0.020667,Active,
BCS-0026,BCS,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,1,3,D2 Enquiry,1,0.006903,Active,
BCS-0026,BCS,2026-06-19,Social,ig,social,(referral),Singapore,2,3,D1 Lead,0,0.002000,Active,
BCS-0026,BCS,2026-06-19,Social,ig,social,(referral),Singapore,2,3,D2 Enquiry,1,0.002000,Active,
BCS-0026,BCS,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,3,3,D1 Lead,0,0.020667,Active,
BCS-0026,BCS,2026-06-19,PaidSocial,facebook,cpc,FPD-SG-LeadGen-Web-AO-SixthFormLaunch-DecJan2025,Singapore,3,3,D2 Enquiry,1,0.006903,Active,
BCS-0027,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,1,2,D1 Lead,0,0.129590,Active,
BCS-0027,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,1,2,D2 Enquiry,1,0.095941,Active,
BCS-0027,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,2,2,D1 Lead,0,0.129590,Active,
BCS-0027,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,2,2,D2 Enquiry,1,0.095941,Active,
BCS-0028,BCS,2026-06-17,Local,google,gmb,google_my_business,Singapore,1,3,D1 Lead,0,0.036975,Active,
BCS-0028,BCS,2026-06-17,Local,google,gmb,google_my_business,Singapore,1,3,D2 Enquiry,1,0.043392,Active,
BCS-0028,BCS,2026-06-18,Local,google,gmb,google_my_business,Singapore,2,3,D1 Lead,0,0.018488,Active,
BCS-0028,BCS,2026-06-18,Local,google,gmb,google_my_business,Singapore,2,3,D2 Enquiry,1,0.021696,Active,
BCS-0028,BCS,2026-06-19,Local,google,gmb,google_my_business,Singapore,3,3,D1 Lead,0,0.036975,Active,
BCS-0028,BCS,2026-06-19,Local,google,gmb,google_my_business,Singapore,3,3,D2 Enquiry,1,0.043392,Active,
BCS-0029,BCS,2026-06-27,OrganicSearch,google,organic,(organic),China,1,2,D1 Lead,0,0.129590,Active,
BCS-0029,BCS,2026-06-27,OrganicSearch,google,organic,(organic),China,1,2,D2 Enquiry,1,0.095941,Active,
BCS-0029,BCS,2026-06-27,OrganicSearch,google,organic,(organic),China,2,2,D1 Lead,0,0.129590,Active,
BCS-0029,BCS,2026-06-27,OrganicSearch,google,organic,(organic),China,2,2,D2 Enquiry,1,0.095941,Active,
BCS-0030,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Australia,1,5,D1 Lead,0,0.103672,Active,
BCS-0030,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Australia,1,5,D2 Enquiry,1,0.076753,Active,
BCS-0030,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Australia,2,5,D1 Lead,0,0.017279,Active,
BCS-0030,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Australia,2,5,D2 Enquiry,1,0.012792,Active,
BCS-0030,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Australia,3,5,D1 Lead,0,0.017279,Active,
BCS-0030,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Australia,3,5,D2 Enquiry,1,0.012792,Active,
BCS-0030,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Australia,4,5,D1 Lead,0,0.017279,Active,
BCS-0030,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Australia,4,5,D2 Enquiry,1,0.012792,Active,
BCS-0030,BCS,2026-06-23,OrganicSearch,google,organic,(organic),Australia,5,5,D1 Lead,0,0.103672,Active,
BCS-0030,BCS,2026-06-23,OrganicSearch,google,organic,(organic),Australia,5,5,D2 Enquiry,1,0.076753,Active,
BCS-0031,BCS,2026-06-06,Referral,chatgpt.com,referral,(referral),Singapore,1,3,D1 Lead,0,0.007234,Active,
BCS-0031,BCS,2026-06-06,Referral,chatgpt.com,referral,(referral),Singapore,1,3,D2 Enquiry,1,0.009665,Active,
BCS-0031,BCS,2026-06-07,Referral,chatgpt.com,referral,(referral),Singapore,2,3,D1 Lead,0,0.003617,Active,
BCS-0031,BCS,2026-06-07,Referral,chatgpt.com,referral,(referral),Singapore,2,3,D2 Enquiry,1,0.004832,Active,
BCS-0031,BCS,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_HK_PMAX_EN_GENERIC_Generic,Singapore,3,3,D1 Lead,0,0.044251,Active,
BCS-0031,BCS,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_HK_PMAX_EN_GENERIC_Generic,Singapore,3,3,D2 Enquiry,1,0.040033,Active,
BCS-0032,BCS,2026-06-22,Direct,(direct),(none),(direct),Singapore,1,1,D1 Lead,0,0.156912,Active,
BCS-0032,BCS,2026-06-22,Direct,(direct),(none),(direct),Singapore,1,1,D2 Enquiry,1,0.152570,Active,
BCS-0033,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,1,2,D1 Lead,0,0.129590,Active,
BCS-0033,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,1,2,D2 Enquiry,1,0.095941,Active,
BCS-0033,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,2,2,D1 Lead,0,0.129590,Active,
BCS-0033,BCS,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,2,2,D2 Enquiry,1,0.095941,Active,
BCS-0034,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,1,6,D1 Lead,0,0.036975,Active,
BCS-0034,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,1,6,D2 Enquiry,1,0.043392,Active,
BCS-0034,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,2,6,D1 Lead,0,0.004622,Active,
BCS-0034,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,2,6,D2 Enquiry,1,0.005424,Active,
BCS-0034,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,3,6,D1 Lead,0,0.004622,Active,
BCS-0034,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,3,6,D2 Enquiry,1,0.005424,Active,
BCS-0034,BCS,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,4,6,D1 Lead,0,0.005531,Active,
BCS-0034,BCS,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,4,6,D2 Enquiry,1,0.005004,Active,
BCS-0034,BCS,2026-06-20,Local,google,gmb,google_my_business,Spain,5,6,D1 Lead,0,0.004622,Active,
BCS-0034,BCS,2026-06-20,Local,google,gmb,google_my_business,Spain,5,6,D2 Enquiry,1,0.005424,Active,
BCS-0034,BCS,2026-06-21,Local,google,gmb,google_my_business,Spain,6,6,D1 Lead,0,0.036975,Active,
BCS-0034,BCS,2026-06-21,Local,google,gmb,google_my_business,Spain,6,6,D2 Enquiry,1,0.043392,Active,
BCS-0035,BCS,2026-06-19,Direct,(direct),(none),(direct),Singapore,1,2,D1 Lead,0,0.078456,Active,
BCS-0035,BCS,2026-06-19,Direct,(direct),(none),(direct),Singapore,1,2,D2 Enquiry,1,0.076285,Active,
BCS-0035,BCS,2026-06-22,Direct,(direct),(none),(direct),Singapore,2,2,D1 Lead,0,0.078456,Active,
BCS-0035,BCS,2026-06-22,Direct,(direct),(none),(direct),Singapore,2,2,D2 Enquiry,1,0.076285,Active,
BCS-0036,BCS,2026-06-15,OrganicSearch,bing,organic,(organic),China,1,7,D1 Lead,0,0.103672,Active,
BCS-0036,BCS,2026-06-15,OrganicSearch,bing,organic,(organic),China,1,7,D2 Enquiry,1,0.076753,Active,
BCS-0036,BCS,2026-06-15,OrganicSearch,bing,organic,(organic),China,2,7,D1 Lead,0,0.010367,Active,
BCS-0036,BCS,2026-06-15,OrganicSearch,bing,organic,(organic),China,2,7,D2 Enquiry,1,0.007675,Active,
BCS-0036,BCS,2026-06-16,OrganicSearch,bing,organic,(organic),China,3,7,D1 Lead,0,0.010367,Active,
BCS-0036,BCS,2026-06-16,OrganicSearch,bing,organic,(organic),China,3,7,D2 Enquiry,1,0.007675,Active,
BCS-0036,BCS,2026-06-16,OrganicSearch,bing,organic,(organic),China,4,7,D1 Lead,0,0.010367,Active,
BCS-0036,BCS,2026-06-16,OrganicSearch,bing,organic,(organic),China,4,7,D2 Enquiry,1,0.007675,Active,
BCS-0036,BCS,2026-06-19,OrganicSearch,google,organic,(organic),China,5,7,D1 Lead,0,0.010367,Active,
BCS-0036,BCS,2026-06-19,OrganicSearch,google,organic,(organic),China,5,7,D2 Enquiry,1,0.007675,Active,
BCS-0036,BCS,2026-06-20,OrganicSearch,google,organic,(organic),China,6,7,D1 Lead,0,0.010367,Active,
BCS-0036,BCS,2026-06-20,OrganicSearch,google,organic,(organic),China,6,7,D2 Enquiry,1,0.007675,Active,
BCS-0036,BCS,2026-06-24,OrganicSearch,bing,organic,(organic),China,7,7,D1 Lead,0,0.103672,Active,
BCS-0036,BCS,2026-06-24,OrganicSearch,bing,organic,(organic),China,7,7,D2 Enquiry,1,0.076753,Active,
BCS-0037,BCS,2026-06-17,Local,google,gmb,google_my_business,Spain,1,6,D1 Lead,0,0.036975,Active,
