school,landing_page,sessions,users,conversions,conversion_rate,bounce_rate,avg_session_duration
BCS,/admissions/book-a-tour/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeg89b-3lKoWkWabH-piVIqnwjDVpMOm_xtqy7x6cq6haTjJ4jIQPBk0saprs_aem_Or9HFtFJb54jhFzZFUyDyA,1,1,0,0.0,0.0,19.9
BCS,/admissions/book-a-tour/?fbclid=PAZXh0bgNhZW0BMABhZGlkAas3ApuiCvxzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacLO2oweL43Nev2nPtZgp-0X0oCoK54HdhGi0BM3KFkqZYbW6JVBfhDHySq5w_aem_hjlul6eyUuYsf0ZnDuw6-A,1,0,0,0.0,100.0,0.1
BCS,/admissions/book-a-tour/?fbclid=PAZXh0bgNhZW0BMABhZGlkAas3ApuiCvxzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaeWPtn6D7zkbOrFBSDgM9NikrugLAVPvh-GIkHVyQPKWnt_mqIJ0bFRHVYh7A_aem_JmlATIjtSqvPsnc-ImPkNQ,1,1,0,0.0,0.0,190.8
BCS,/admissions/book-a-tour/?fbclid=PAZXh0bgNhZW0BMABhZGlkAas3ApuiCvxzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafDBfU-Ln9TulON_ZKoPymCxaf5u8f56RUXZ8PHWK52S2vQyxHnwvtnJWQv0Q_aem_UUf8cWqB1765eflmayWVrg,1,1,0,0.0,100.0,0.0
BCS,/admissions/book-a-tour/?fbclid=PAZXh0bgNhZW0BMABhZGlkAas3Apuy09xzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacZkDNUrbYHjmHTbVbzWgQEaL17wDo6La-PfS2QBW-YNgaVmJrJEiIH5Pc6UQ_aem_zJ5Yaer-dDSoEupkVim8Dg,1,1,0,0.0,0.0,8.3
BCS,/admissions/book-a-tour/?fbclid=PAZXh0bgNhZW0BMABhZGlkAas3Apuy09xzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaecHaljZRc14vNiztfbRHw2Tga-ap1_7-F8TfVQTzjaa-cM-J5pHv6-MWPkBA_aem_r2dR8R4yLe7EhHwOTZ1WNg,1,1,0,0.0,100.0,0.1
BCS,/admissions/book-a-tour/?fbclid=PAZXh0bgNhZW0BMABhZGlkAasxPFRmUTxzcnRjBmFwcF9pZA81NjcwNjczNDMzNTI0MjcAAafM0EwJi6Pm1On-FBiS2wrpVA43fJComfYo-Ol7VpSGObeB7n8O7kVuxHS1vQ_aem_JkqYnTqNKLcB_5oVDAyVpg,1,1,0,0.0,0.0,88.9
BCS,/admissions/book-a-tour/?fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQPNTY3MDY3MzQzMzUyNDI3AAGnfgY2PhM6hUt4SBzMPTU3ATlYOVal-9H8a9MWG891jI5qAtqDNmRp4TgUH8Q_aem_8xQwNjqdXBW4zA7lmkMfXA,1,1,4,400.0,0.0,141.2
BCS,/admissions/book-a-tour/?fbclid=PAcGRvZgJmZGlkFlCYnnE5Ni72F2TdIoFqE15h0U8hwohleHRuA2FlbQEwAGFkaWQBqzcCm7LT3HNydGMGYXBwX2lkDzEyNDAyNDU3NDI4NzQxNAABpxIfzkpgxR2qPkVCnTSG1tCndcQD-dKU2CUd924JQi_pe1CBl5RlGSM9o-x9_aem_CzaPoEQtKJykwcjh48eE8A,1,0,0,0.0,100.0,0.1
BCS,/admissions/book-a-tour/?gtm_debug=1782462598270,1,1,4,400.0,0.0,226.0
BCS,/admissions/book-a-tour/?gtm_debug=1782464674396,1,1,4,400.0,0.0,148.1
BCS,/admissions/cpe-information/,1,1,0,0.0,100.0,4.4
BCS,/admissions/enquire-now/?eps=AHas8cA9g9ATnIV8_gJkQn4KmwMPioQ-3rfZS0caVK33r3t4yZSubSh3RTzb2H12_E0k_OkKOSPyO4n8t31_Cj15cXNo8WFDa-YrO2AB5QAKldvEOa7yqxrsp40L27yV,1,1,0,0.0,100.0,0.4
BCS,/admissions/enquire-now/?eps=AHas8cAgarmB_AjHb4X0Q9C_n1FTMWqWNzvLcnQ9cWnXFgz3H2XLiCqooWoF1Ox5I6WF2vwp4qoF2aiv_zLVwhNs5P-Ba4AtPpPTxIQ2iDts5i71gYNu04rQ-lSToPyr,1,0,0,0.0,100.0,2.1
BCS,/admissions/enquire-now/?eps=AHas8cAr0qMaLyxJSjZCkhUKwcYLpBXV3tKXzMxJCSeQmgDXU7jCPBJlqb6so40XgfAUwXodXCO5BbJOYEq1stOVcX1eitBjpi5OMl3SMQOY3QkGrMVcOY_DOxrtcMgS0Q,1,1,0,0.0,100.0,0.2
BCS,/admissions/enquire-now/?eps=AHas8cBEBpTt0JLF9hQwHP6vviv7dY_ma-GNZ6UnlcjOAwklRBRRJaZ1Im1zq3Kt9gf_GxzDuVUqpsbm8kOSd1aMDeZdd2tVtd_5gWjnU61ktTnlCMWgDV2c9FzGLKunBw,1,1,0,0.0,0.0,340.6
BCS,/admissions/enquire-now/?eps=AHas8cC4yM43UYbGdBpavwnJl-d9RxgTEokzC9LcCh0dRIkKmRWp_29E37Ma3EUhzipGmmuc0iCfUoCn_bN9Jh61Tw6lN9If2Hn3581KczMBPRM_BzT2_lwh6Q,1,1,0,0.0,0.0,3.5
BCS,/admissions/enquire-now/?eps=AHas8cCIN6YEDFz-VA7dp7pBQjL09rI7gn_aWIuU7hqNq-SbssxH1G-Jzg_bLUU6R0P4kTIc3tNDL0_-yIAGpgSbAAe5uXHeZ-aQG0SV9wGW7cXX93prDLd6I6VUlE9Z6w,1,1,0,0.0,0.0,64.3
BCS,/admissions/enquire-now/?fbclid=IwY2xjawSrJ1JleHRuA2FlbQIxMABicmlkETFKMnp5VlM3NWxTNllHNXJ6c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHtQlzvdQ3zv_BaPefoMG6CDxfcBTKfe20TBvyoJIdVPoOCRPrI-fWukuka1w_aem_xWY4zSxJSghiMUvOn6pRbA,1,1,0,0.0,0.0,143.4
BCS,/admissions/enquire-now/?fbclid=IwZXh0bgNhZW0BMABhZGlkAas1xysYM5xzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeVizkfLAk869KEt0nDFwJEL_XDVnpjg0RvW68BRqD1egli9EHzBqJhIJTMbo_aem_SoicM2TBgqJtcyD-iT5O5g,1,1,0,0.0,100.0,5.3
BCS,/admissions/enquire-now/?fbclid=IwZXh0bgNhZW0BMABhZGlkAas1xysYM5xzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR5Kcqo5JnWSW5rjS7ip68PZDdvIzb8vq-bR42yO6gQxMl__aKenGY4boYotLA_aem_YWdncwAPiVWpd8yrFRlyGNy-48hg&brid=YWdncwEPiVWpd8yrFRlyGNy-48hg,1,1,0,0.0,100.0,6.0
BCS,/admissions/enquire-now/?fbclid=IwZXh0bgNhZW0BMABhZGlkAas3AnB2aDxzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeUIilv1jtKxeL6orFgkWWKiNtKvbe7N4N414VKx-OgY7Ljp1c1QLW3v99NkY_aem_1ESFXp6JqRZSZEu4WFUUmw,1,1,0,0.0,100.0,6.4
BCS,/admissions/enquire-now/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasXTicNv6xzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEey4P4svf15hPHT7YHfW68KW087nu1gLZWrXtuBWHpTrK2b3uN8eV1bj1e3Aw_aem_FpyAVuEwWD-KiJlYHr5dAA,1,1,0,0.0,100.0,0.5
BCS,/admissions/enquire-now/?fbclid=IwZXh0bgNhZW0BMABhZGlkAasd3j_b40xzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR7OXYn8aejVHi1vEpM7yyP53yubGo1OR53ov5OZOUVm6F5Z6Pf3bBltdU3WlA_aem_YGPPzWfxsGNwWyYJ8lBdtw,1,1,0,0.0,100.0,0.7
BCS,/admissions/enquire-now/?fbclid=IwcGRvZgNmZGlkFlCX_ilcNTFPpzPSGn4a65iLOHiAUqFleHRuA2FlbQEwAGFkaWQBqzcCcKuB_HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR5HvpXmEbMtwm3slKJHdh_oNeSZrBYo44rTmwafOWYILIT8lPLvk9v7dGBQAw_aem_DRJOy5ysSa-r71TtttYKWw,1,1,0,0.0,100.0,5.7
BCS,/admissions/enquire-now/?fbclid=IwcGRvZgNmZGlkFlCZKew3o3--DjkC5yUgiPMnRpQfyMZleHRuA2FlbQEwAGFkaWQBqzcCcKuB_HNydGMGYXBwX2lkCjY2Mjg1NjgzNzkAAR44Rkl7txKyYpQfZg50B6-6vX4nkoUsScZ7ayCDPVJMX5R_tzDe-gMLBdDoIw_aem_Y5Y9wgd_welmiaF0Ir5oxA,1,1,0,0.0,100.0,5.9
BCS,/admissions/enquire-now/?fbclid=PAZXh0bgNhZW0BMABhZGlkAas3AnCrgfxzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafmlarzu9haDQ7XYj9dtWG6A7Gi9VNGqd2Cemccj3dFg83shF3Ef0FLKetJiA_aem_yBAIGYRfaCYIMglG3DA-vQ,1,1,0,0.0,0.0,49.7
BCS,/admissions/enquire-now/?fbclid=PAZXh0bgNhZW0BMABhZGlkAasd3iwGOHxzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAacvB98hJUkrqdxxgcZQeSq4CLIqcrzbE2tz9N-sNZOchM6agOEbibtgIj7dMQ_aem_YCnNM21TfWYQSHdMNnwGrQ,1,1,0,0.0,0.0,25.4
BCS,/admissions/enquire-now/?fbclid=PAZXh0bgNhZW0BMABhZGlkAasd3iwGOHxzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAaf0FsFuVvcuHghg2JW59eDgIR31QhDLOQy7HNGAHDSilbBQtIEmpzqh2bRr1g_aem_quGbY9qRyXfGHjoNs_TwxQ,1,1,0,0.0,100.0,0.1
BCS,/admissions/enquire-now/?fbclid=PAZXh0bgNhZW0BMABhZGlkAasd3iwGOHxzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafr8nVfmhQBgA4dfq1DjZhpo8YPqr1FWkNdmiXCHu6BPnuS6RfuIw_bKyw3xA_aem_7Y3PNnHnUW9k0PsedNdQNQ,1,1,0,0.0,100.0,0.1
BCS,/admissions/enquire-now/?fbclid=PAZXh0bgNhZW0BMABhZGlkAasd3j_b40xzcnRjBmFwcF9pZA8xMjQwMjQ1NzQyODc0MTQAAafcCIHTw0MYvtuQTP1m1jXWh8JacGguFa1_GisvFdk71CwD6zO23Obppv8_Qw_aem_AIT_uU6xFtMJro7bJ7xEVA,1,1,0,0.0,100.0,5.4
BCS,/admissions/enquire-now/?fbclid=PAaWdyZASrB1dleHRuA2FlbQEwAGFkaWQBqzcCcKuB_HNydGMGYXBwX2lkDDI1NjI4MTA0MDU1OAABpxumBzgvj9PC1KVgxV85NK9mTEdvjp8I67ncac8kWzKipxzymKQnq_hPSdsl_aem_NVZmK55WbCs5HAMRrHIRfA,1,1,0,0.0,100.0,0.0
BCS,/admissions/enquiries/,1,1,0,0.0,0.0,19.0
BCS,/admissions/make-an-enquiry/?fbclid=IwY2xjawSgZrBleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAwzNTA2ODU1MzE3MjgAAR6_6JFB0vYocbOkGirk-odEKATW2ZyKPsbDYU_NdZo7-dZY_f2N5rzK-SIRgg_aem_lEUOxlM4JAQ6G7JOGf4erg,1,1,0,0.0,0.0,532.6
