journey_id,school,touchpoint,total_touchpoints,date,channel_grouping,source,medium,campaign,country,max_stage,max_stage_idx,status,closed_reason
BCS-0029,BCS,1,2,2026-06-27,OrganicSearch,google,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0029,BCS,2,2,2026-06-27,OrganicSearch,google,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0030,BCS,1,5,2026-06-22,OrganicSearch,google,organic,(organic),Australia,D2 Enquiry,1,Active,
BCS-0030,BCS,2,5,2026-06-22,OrganicSearch,google,organic,(organic),Australia,D2 Enquiry,1,Active,
BCS-0030,BCS,3,5,2026-06-22,OrganicSearch,google,organic,(organic),Australia,D2 Enquiry,1,Active,
BCS-0030,BCS,4,5,2026-06-22,OrganicSearch,google,organic,(organic),Australia,D2 Enquiry,1,Active,
BCS-0030,BCS,5,5,2026-06-23,OrganicSearch,google,organic,(organic),Australia,D2 Enquiry,1,Active,
BCS-0031,BCS,1,3,2026-06-06,Referral,chatgpt.com,referral,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0031,BCS,2,3,2026-06-07,Referral,chatgpt.com,referral,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0031,BCS,3,3,2026-06-15,PMaxPaidSearch,google,cpc,FPD_PM_Regional_PMAX_HK_PMAX_EN_GENERIC_Generic,Singapore,D2 Enquiry,1,Active,
BCS-0032,BCS,1,1,2026-06-22,Direct,(direct),(none),(direct),Singapore,D2 Enquiry,1,Active,
BCS-0033,BCS,1,2,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,D2 Enquiry,1,Active,
BCS-0033,BCS,2,2,2026-06-24,OrganicSearch,google,organic,(organic),Switzerland,D2 Enquiry,1,Active,
BCS-0034,BCS,1,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0034,BCS,2,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0034,BCS,3,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0034,BCS,4,6,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,D2 Enquiry,1,Active,
BCS-0034,BCS,5,6,2026-06-20,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0034,BCS,6,6,2026-06-21,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0035,BCS,1,2,2026-06-19,Direct,(direct),(none),(direct),Singapore,D2 Enquiry,1,Active,
BCS-0035,BCS,2,2,2026-06-22,Direct,(direct),(none),(direct),Singapore,D2 Enquiry,1,Active,
BCS-0036,BCS,1,7,2026-06-15,OrganicSearch,bing,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0036,BCS,2,7,2026-06-15,OrganicSearch,bing,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0036,BCS,3,7,2026-06-16,OrganicSearch,bing,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0036,BCS,4,7,2026-06-16,OrganicSearch,bing,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0036,BCS,5,7,2026-06-19,OrganicSearch,google,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0036,BCS,6,7,2026-06-20,OrganicSearch,google,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0036,BCS,7,7,2026-06-24,OrganicSearch,bing,organic,(organic),China,D2 Enquiry,1,Active,
BCS-0037,BCS,1,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0037,BCS,2,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0037,BCS,3,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0037,BCS,4,6,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,D2 Enquiry,1,Active,
BCS-0037,BCS,5,6,2026-06-20,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0037,BCS,6,6,2026-06-21,Local,google,gmb,google_my_business,Spain,D2 Enquiry,1,Active,
BCS-0038,BCS,1,5,2026-06-16,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",D2 Enquiry,1,Active,
BCS-0038,BCS,2,5,2026-06-16,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",D2 Enquiry,1,Active,
BCS-0038,BCS,3,5,2026-06-18,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",D2 Enquiry,1,Active,
BCS-0038,BCS,4,5,2026-06-19,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",D2 Enquiry,1,Active,
BCS-0038,BCS,5,5,2026-06-21,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",D2 Enquiry,1,Active,
BCS-0039,BCS,1,1,2026-06-13,Direct,(direct),(none),(not set),United Kingdom,D2 Enquiry,1,Active,
BCS-0040,BCS,1,2,2026-06-20,OrganicSearch,google,organic,(organic),Singapore,D2 Enquiry,1,Active,
BCS-0040,BCS,2,2,2026-06-22,OrganicSearch,google,organic,(organic),Singapore,D2 Enquiry,1,Active,
BCS-0041,BCS,1,1,2026-06-15,Offline,offline,offline,phone-enquiry,Singapore,D2 Enquiry,1,Active,
BCS-0042,BCS,1,6,2026-06-24,Referral,sg.search.yahoo.com,referral,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0042,BCS,2,6,2026-06-25,Referral,sg.search.yahoo.com,referral,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0042,BCS,3,6,2026-06-25,Referral,sg.search.yahoo.com,referral,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0042,BCS,4,6,2026-06-25,Referral,sg.search.yahoo.com,referral,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0042,BCS,5,6,2026-06-25,Referral,sg.search.yahoo.com,referral,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0042,BCS,6,6,2026-06-28,Referral,sg.search.yahoo.com,referral,(referral),Singapore,D2 Enquiry,1,Active,
BCS-0043,BCS,1,1,2026-06-12,Direct,(direct),(none),(not set),Japan,D2 Enquiry,1,Active,
BCS-0044,BCS,1,1,2026-06-18,OrganicSearch,google,organic,(organic),Singapore,D2 Enquiry,1,Active,
BCS-0045,BCS,1,1,2026-06-16,Direct,(direct),(none),(not set),Japan,D2 Enquiry,1,Active,
BCS-0046,BCS,1,1,2026-06-13,Direct,(direct),(none),(not set),United Kingdom,D2 Enquiry,1,Active,
BCS-0047,BCS,1,1,2026-06-19,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0048,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,United Kingdom,D3 Application,2,Active,
BCS-0049,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,United Kingdom,D3 Application,2,Active,
BCS-0050,BCS,1,1,2026-06-18,Offline,offline,offline,direct-application,United Kingdom,D3 Application,2,Active,
BCS-0051,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,United Kingdom,D3 Application,2,Active,
BCS-0052,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,United Kingdom,D3 Application,2,Active,
BCS-0053,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0054,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,United Kingdom,D3 Application,2,Active,
BCS-0055,BCS,1,1,2026-06-15,Offline,offline,offline,direct-application,Hong Kong,D3 Application,2,Active,
BCS-0056,BCS,1,1,2026-06-15,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0057,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0058,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0059,BCS,1,1,2026-06-27,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0060,BCS,1,1,2026-06-16,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0061,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0062,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0063,BCS,1,1,2026-06-12,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0064,BCS,1,1,2026-06-28,Direct,(direct),(none),(not set),Singapore,D3 Application,2,Active,
BCS-0065,BCS,1,1,2026-06-16,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0066,BCS,1,2,2026-06-18,OrganicSearch,bing,organic,(organic),Thailand,D3 Application,2,Active,
BCS-0066,BCS,2,2,2026-06-19,OrganicSearch,bing,organic,(organic),Thailand,D3 Application,2,Active,
BCS-0067,BCS,1,1,2026-06-18,Offline,offline,offline,direct-application,United Kingdom,D3 Application,2,Active,
BCS-0068,BCS,1,1,2026-06-24,Offline,offline,offline,direct-application,Singapore,D3 Application,2,Active,
BCS-0069,BCS,1,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0069,BCS,2,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0069,BCS,3,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0069,BCS,4,6,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,D3 Application,2,Active,
BCS-0069,BCS,5,6,2026-06-20,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0069,BCS,6,6,2026-06-21,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0070,BCS,1,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0070,BCS,2,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0070,BCS,3,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0070,BCS,4,6,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,D3 Application,2,Active,
BCS-0070,BCS,5,6,2026-06-20,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0070,BCS,6,6,2026-06-21,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0071,BCS,1,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0071,BCS,2,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0071,BCS,3,6,2026-06-17,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0071,BCS,4,6,2026-06-20,PMaxPaidSearch,google,cpc,FPD_PM_Local_PMAX_SG_PMAX_EN_GENERIC_Generic,Spain,D3 Application,2,Active,
BCS-0071,BCS,5,6,2026-06-20,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0071,BCS,6,6,2026-06-21,Local,google,gmb,google_my_business,Spain,D3 Application,2,Active,
BCS-0072,BCS,1,1,2026-06-16,Direct,(direct),(none),(not set),Singapore,D4 Offer,3,Active,
BCS-0073,BCS,1,1,2026-06-17,Offline,offline,offline,direct-application,China,D4 Offer,3,Active,
BCS-0074,BCS,1,1,2026-06-15,Offline,offline,offline,direct-application,Singapore,D5 Enrolment,4,Won,
